message_id	message	label
1	Get guaranteed returns in 1 week, invest now!	phishing
2	Your Demat account will be blocked, click here to verify.	phishing
3	SEBI approved stock tips: double your money today.	phishing
4	Transfer money to this account to avoid penalty.	phishing
5	Congratulations! You have won a free stock trading course.	phishing
6	Urgent! Update KYC immediately to continue trading.	phishing
7	Exclusive insider news: Stock XYZ will skyrocket.	phishing
8	Limited time offer: Pay now and get free brokerage.	phishing
9	Dear investor, confirm your PAN at this link to avoid suspension.	phishing
10	Huge profits await, join our premium WhatsApp group now.	phishing
